197, 203, 170, 149
189, 204, 170, 149
197, 207, 170, 149
215, 209, 170, 149
229, 208, 170, 149
239, 206, 170, 149
253, 204, 170, 149
267, 204, 170, 149
261, 195, 170, 149
223, 177, 170, 149
187, 175, 170, 149
161, 178, 170, 149
151, 172, 170, 149
165, 169, 170, 149
195, 173, 170, 149
243, 181, 170, 149
295, 187, 170, 149
311, 193, 170, 149
287, 197, 170, 149
233, 197, 170, 149
185, 198, 170, 149
159, 192, 170, 149
157, 180, 170, 149
163, 172, 170, 149
177, 170, 170, 149
191, 171, 170, 149
199, 172, 170, 149
211, 178, 170, 149
215, 196, 170, 149
215, 223, 170, 149
231, 255, 170, 149
239, 263, 170, 149
231, 249, 170, 149
217, 237, 170, 149
199, 222, 170, 149
183, 192, 170, 149
193, 174, 170, 149
201, 182, 170, 149
221, 211, 170, 149
245, 234, 170, 149
255, 242, 170, 149
249, 232, 170, 149
223, 194, 170, 149
193, 172, 170, 149
165, 167, 170, 149
127, 173, 170, 149
119, 187, 170, 149
125, 200, 170, 149
135, 200, 170, 149
161, 196, 170, 149
187, 196, 170, 149
207, 201, 170, 149
231, 217, 170, 149
253, 236, 170, 149
271, 243, 170, 149
281, 240, 170, 149
257, 230, 170, 149
209, 204, 170, 149
157, 181, 170, 149
169, 185, 170, 149
209, 183, 170, 149
237, 182, 170, 149
255, 192, 170, 149
267, 201, 170, 149
267, 215, 170, 149
259, 241, 170, 149
247, 255, 170, 149
245, 257, 170, 149
245, 247, 170, 149
231, 236, 170, 149
207, 233, 170, 149
199, 228, 170, 149
203, 218, 170, 149
217, 211, 170, 149
207, 197, 170, 149
207, 161, 170, 149
227, 148, 170, 149
239, 150, 170, 149
249, 167, 170, 149
249, 202, 170, 149
247, 237, 170, 149
235, 261, 170, 149
215, 254, 170, 149
175, 224, 170, 149
149, 197, 170, 149
145, 174, 170, 149
157, 161, 170, 149
171, 169, 170, 149
175, 191, 170, 149
177, 224, 170, 149
175, 257, 170, 149
177, 254, 170, 149
181, 242, 170, 149
203, 217, 170, 149
217, 198, 170, 149
211, 203, 170, 149
197, 211, 170, 149
197, 201, 170, 149
187, 187, 170, 149
163, 170, 170, 149
151, 165, 170, 149
157, 173, 170, 149
197, 189, 170, 149
229, 201, 170, 149
225, 213, 170, 149
205, 231, 170, 149
155, 241, 170, 149
119, 232, 170, 149
113, 198, 170, 149
125, 178, 170, 149
149, 174, 170, 149
197, 183, 170, 149
227, 194, 170, 149
229, 189, 170, 149
221, 176, 170, 149
205, 158, 170, 149
169, 151, 170, 149
153, 159, 170, 149
149, 156, 170, 149
175, 136, 170, 149
223, 130, 170, 149
271, 124, 170, 149
281, 121, 170, 149
273, 121, 170, 149
249, 126, 170, 149
203, 148, 170, 149
179, 181, 170, 149
175, 200, 170, 149
179, 200, 170, 149
185, 183, 170, 149
205, 163, 170, 149
221, 150, 170, 149
221, 151, 170, 149
221, 160, 170, 149
205, 168, 170, 149
177, 157, 170, 149
153, 133, 170, 149
141, 123, 170, 149
119, 127, 170, 149
109, 146, 170, 149
129, 160, 170, 149
169, 157, 170, 149
203, 150, 170, 149
245, 150, 170, 149
265, 167, 170, 149
261, 182, 170, 149
241, 189, 170, 149
217, 188, 170, 149
193, 186, 170, 149
155, 189, 170, 149
135, 188, 170, 149
155, 181, 170, 149
181, 167, 170, 149
199, 135, 170, 149
201, 111, 170, 149
217, 102, 170, 149
237, 109, 170, 149
249, 134, 170, 149
255, 151, 170, 149
259, 156, 170, 149
257, 156, 170, 149
257, 158, 170, 149
247, 165, 170, 149
227, 182, 170, 149
207, 203, 170, 149
205, 211, 170, 149
215, 197, 170, 149
223, 174, 170, 149
229, 158, 170, 149
233, 152, 170, 149
249, 156, 170, 149
253, 169, 170, 149
237, 182, 170, 149
211, 197, 170, 149
199, 208, 170, 149
191, 211, 170, 149
181, 213, 170, 149
185, 205, 170, 149
201, 182, 170, 149
241, 163, 170, 149
279, 155, 170, 149
297, 150, 170, 149
283, 157, 170, 149
253, 165, 170, 149
197, 168, 170, 149
157, 175, 170, 149
141, 184, 170, 149
151, 189, 170, 149
177, 183, 170, 149
203, 163, 170, 149
227, 147, 170, 149
255, 147, 170, 149
287, 152, 170, 149
311, 159, 170, 149
299, 166, 170, 149
253, 161, 170, 149
193, 154, 170, 149
151, 152, 170, 149
165, 151, 170, 149
197, 146, 170, 149
201, 138, 170, 149
193, 139, 170, 149
201, 161, 170, 149
213, 205, 170, 149
233, 255, 170, 149
237, 283, 170, 149
233, 280, 170, 149
